x1,x2,x3,x4,y
7.314829846544775,5.1858266139505265,5.037811771160279,3.755341548715777,-9384.404565973291
2.214007673804592,9.677853723958357,3.9741959414521264,3.0776208763284907,-2822.8113342180136
3.7143299324225705,4.3663008737563205,8.012619416049017,3.2412928365375198,-98886.24928761383
2.407885800913699,2.25451262764563,3.112533129793328,8.833619640811317,10083.196207930121
3.1429184274791844,3.6988627870351287,4.068244207422275,3.264154549189301,-3140.7512946005363
7.803281102919444,3.8652025477284546,1.6869753794449767,2.0287379104683283,-15.262394493830831
9.091202398093586,2.573797630625446,2.2947949375620507,5.59314959945796,1569.9216384818828
8.210978813420983,3.599396898970413,8.47061559699625,4.6648496143867835,-129977.70596213503
4.736810410643968,2.552145941966027,2.9204408354829012,9.641022090728857,14910.780504837272
3.159412896923657,9.933382325125452,2.6648105947886767,9.857682219759717,16584.42211623801
8.911670565817767,2.634765461010622,8.113031214499575,3.266539064291162,-105243.71531426352
8.90591036158009,6.662847101060683,1.7428843906410054,5.345392357475157,1415.501186841535
8.810118522406956,2.2355358471453637,5.976672962100216,3.734933856811759,-22528.404029099718
5.090022268582994,2.010585627437007,9.91280338121171,2.3152280316608653,-287098.2402221558
6.522039192022201,4.075893815091798,3.7824476769715503,7.442998540467756,3194.1529685369696
4.5039140360801095,2.322945413339823,8.89198615826719,2.200143329953943,-166729.0239366027
9.550613266340614,5.127512435247365,6.161399174820044,4.437287898259161,-25944.857675582483
4.401484684560519,1.068666475750383,3.296725990365047,2.940568000344614,-1034.1816267147435
5.21902823806208,7.038081516611311,3.2952581906764666,9.588159035220919,14037.639717672932
6.678626865597128,7.227265235616747,8.495550915362294,9.259679448202329,-119541.6313894883
