x1,x2,x3,x4,x5,y
5.725671527205702,9.46308710989526,9.735050369338808,8.617911282084208,6.856731901223443,-105013.23594471176
9.820766618016256,6.343654013893882,5.435369667935767,3.996882167577958,9.038934057045571,-5718.81729230288
4.193365326030879,8.491025395971935,5.102457511374978,7.54212932359362,2.2459988756407108,-4217.47673734595
3.7959785841136258,1.3642988015635575,4.905770035232276,8.744626315650565,1.1477685167028737,-3502.9197781932876
3.7669166842289745,1.527654488383937,9.860087805528776,2.919866103061872,2.37009740466783,-111848.66906004646
7.112565653737523,5.597088272710203,4.71112191291806,6.6915417506485335,3.194302238370005,-2842.9240322330083
8.673732968805407,2.663466865130922,8.133630372262683,8.180682375471989,8.29954284423046,-42804.04842853797
6.994019192263458,4.668935427161799,5.243233796966019,4.885511234686583,9.489347410782946,-4788.510170515976
2.4392496248924864,5.6827527331334,1.0660634062945187,2.820065785449126,8.353963244215501,-8.86646840098584
1.0020246153052652,1.0827397574385107,7.419607171366279,7.677530945651439,8.317930913443263,-27051.804125570514
7.856247467154775,1.7102739144479497,2.953269901285267,6.518454376759209,2.5940780920459336,-327.0749328421357
9.249788129805626,4.200593196799404,3.418163591809936,5.902760516091986,6.138972761817874,-609.3248882749258
1.8718265235096294,2.413553176431099,9.885107302261982,6.875240163935938,5.251737946055362,-113320.14894597419
8.660089005407496,7.3094905156169965,4.477313625675932,2.02302087707474,9.867265462125223,-2169.9882330691253
9.375176865342622,5.250424393331613,5.590439117954078,4.736064317974171,6.831840688022859,-6586.0261465388785
1.6806065159526078,5.829271584817715,1.7509112080230949,9.88886212699715,2.495535735318049,-134.10312801519194
9.507265835280858,5.861044651657251,3.7965028082764327,3.6425203268222957,4.563623166098184,-970.5151770476617
3.0701563063770014,7.95390689233999,2.979789424986936,1.4161928027393613,2.3086151845767207,-282.1096132449782
4.287504142968041,2.091718631456675,7.050178527862822,2.9920523365021077,7.25437813315661,-20914.086485123666
1.3672187061884338,5.8406995411302365,3.8767590933445986,3.946453810410901,8.20728869968128,-1065.7605560170637
