x1,x2,x3,y
5.989722711215892,-4.27178656625121,-5.384360522558726,577.3267926214544
5.724947064994181,8.518852545811995,2.502334264776948,-7491.250145194384
-8.926073853952898,-1.7651809931572888,-5.92463382339115,-3933.036949565367
-1.3007745335510013,8.89301844085167,-8.535252824209305,8412.696231200825
-2.0566775288721972,2.376456497060479,5.466998924652957,2620.1470669296655
-2.124861557551803,3.712929980130218,8.781052988688863,17583.89596465486
7.569120681151219,1.9126615339524733,8.975725750824402,15516.655620580863
9.29097244176267,6.357206222346925,-5.902213739789994,-7261.109532987038
6.361232748842539,-8.335021301680833,-9.505965249948371,16739.96467696998
-5.212037464262787,-8.057403715489787,1.4383956587044988,-5930.505489418282
3.758576080487334,-1.810748635632926,-9.546987937594398,24669.83773105103
-3.2651144942851884,-8.594184560126997,6.464557557231593,-1443.4098120246722
-4.309930131053575,-7.953749172595264,-5.892627331879334,-1599.5027917599277
8.854371308191894,3.8235740920297285,2.7230936411750477,-7467.377647449078
-4.624415692096524,-2.2317034541281755,9.640280716239001,25332.189880222
2.442615078161108,-1.3701559908598089,7.081758456150812,7498.513234493468
-2.6687349016889117,-5.769307530038059,-1.8007119190936667,-1358.7895340580978
5.998447514142358,-2.7283391449287393,2.024662358063134,-1569.672073383567
-4.7839380608898345,2.862040369724987,-6.461623898447504,4520.792002174102
7.487075051544561,-4.346470756639973,-2.8342726548480552,-4005.457893556769
